"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"CEN24LA213","ACC","194419","2024-06-07T18:20:00Z","Shuteston","Louisiana","United States","","N768WM","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot failure to maintain directional control while landing on a wet grass strip.","","30.44","-92.12","BOEING","E75","AIR","5LA9","RON","FALSE","1","","PERS","091","Substantial","VMC","TAILWINDS AIR INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194419","7/25/2024 5:00:00 PM",
"ERA24LA250","ACC","194424","2024-06-07T09:00:00Z","Vero Beach","Florida","United States","","N287ND","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","Excessive side loading of the vertical stabilizer.","","27.655555","-80.417954","PIPER","PA28R","AIR","VRB","Vero Beach Regional","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194424","7/18/2024 5:00:00 PM",
"ERA24LA236","ACC","194359","2024-06-02T13:15:00Z","Gilbertsville","Kentucky","United States","","N220SW","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot's failure to maintain control of the helicopter while attempting to take off from sloping terrain.","","36.93702","-88.22934","ROBINSON","R44","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194359","6/28/2024 5:00:00 PM",
"WPR24LA166","ACC","194377","2024-06-01T11:41:00Z","Snohomish","Washington","United States","","N90VT","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s failure to attain a proper touchdown point during landing with a tailwind which resulted in a runway overrun.","","47.904868","-122.10274","THOMAS J SPENCER","RV-10","AIR","S43","Harvey Field Airport","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194377","7/25/2024 5:00:00 PM",
"ERA24LA244","ACC","194381","2024-05-31T20:40:00Z","New Hill","North Carolina","United States","","N331PF","FALSE","DirectorBrief","2024-07-02T04:00:00Z","None","0","0","0","The pilot's failure to maintain control of the helicopter hovering.","","35.68111","-78.93555","VERTICAL AVIATION","HUMMINGBIRD","HELI","","","TRUE","1","","FLTS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194381","7/2/2024 5:00:00 PM",
"ERA24LA233","ACC","194353","2024-05-30T12:17:00Z","Palmetto","Florida","United States","","N313RB","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s improper decision to re-attempt a takeoff with little runway remaining, after rejecting a takeoff in gusting wind conditions, which resulted in a runway overrun at a higher speed and collision with terrain.","","27.642597","-82.519917","PIPER","PA32RT","AIR","48X","Manatee Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194353","6/28/2024 5:00:00 PM",
"WPR24LA176","ACC","194394","2024-05-30T11:03:00Z","Pinedale","Wyoming","United States","","N58QT","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot's failure to maintain directional control during the landing roll, which resulted in aground loop.","","42.797389","-109.81102","OKLAHOMA FAT TIRE FLYERS LLC","CCX-2000","AIR","PNA","Ralph Wenz Field Airport","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194394","7/25/2024 5:00:00 PM",
"CEN24LA201","ACC","194340","2024-05-28T12:30:00Z","Oscoda","Michigan","United States","","N9206A","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during landing rollout with a gusting crosswind that resulted in the airplane nosing over and impacting on the runway.","","44.451528","-83.394167","CESSNA","170A","AIR","OSC","Oscoda/Wurtsmith Airport","FALSE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194340","7/25/2024 5:00:00 PM",
"WPR24LA162","ACC","194323","2024-05-27T07:00:00Z","Somerton","Arizona","United States","","N918LN","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s inadequate fuel management which resulted in a total loss of engine power due tofuel starvation.","","32.599361","-114.6828","NELSON LAWRENCE K","601 HDS","AIR","54AZ","SOMERTON","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194323","7/25/2024 5:00:00 PM",
"CEN24LA198","ACC","194328","2024-05-26T10:00:00Z","Franktown","Colorado","United States","","N983SB","FALSE","DirectorBrief","2024-07-02T04:00:00Z","None","0","0","0","The pilot’s failure to maintain aircraft control during final approach and attempted go-around after encountering a sudden windshear.","","39.390334","-104.7524","Brant T Phillips","Super Cub EXP","AIR","PVT","PVT","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194328","7/2/2024 5:00:00 PM",
"WPR24LA163","ACC","194325","2024-05-25T09:53:00Z","Livermore","California","United States","","N6003F","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The flight instructor’s delayed remedial action, which resulted in an aerodynamic stall and abnormal contact with the runway. Contributing to the accident was the student pilot’s improper landing flare and go-around.","","37.693389","-121.82036","CESSNA AIRCRAFT CO","162","AIR","LVK","Livermore Municipal Airport","FALSE","1","NSCH","INST","091","Substantial","VMC","IONAJ INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194325","7/25/2024 5:00:00 PM",
"ERA24LA225","ACC","194302","2024-05-20T16:23:00Z","Milford","New Jersey","United States","","N86RL","FALSE","DirectorBrief","2024-06-28T04:00:00Z","Minor","0","0","1","The pilot’s lack of familiarity with the airplane’s fuel system, which resulted in a total loss of engine power due to fuel exhaustion.","","40.59154","-75.124274","NICKLE C R","ACRO II","AIR","NA","","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194302","6/28/2024 5:00:00 PM",
"ERA24LA220","ACC","194280","2024-05-18T14:30:00Z","New Washington","Ohio","United States","","N4196K","FALSE","DirectorBrief","2024-06-28T04:00:00Z","Minor","0","0","1","The pilot’s failure to maintain clearance from powerlines during an aerial application flight.","","40.94156","-82.86344","AIR TRACTOR INC","AT-602","AIR","","","FALSE","1","","AAPL","137","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194280","6/28/2024 5:00:00 PM",
"CEN24LA192","ACC","194283","2024-05-15T17:30:00Z","Sealy","Texas","United States","","N74887","FALSE","DirectorBrief","2024-06-13T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the takeoff, that resulted in an impact with a tree and the ground.","","29.727974","-96.060159","CESSNA","170","AIR","1XA7","GLOSTER AERODROME","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194283","6/13/2024 5:00:00 PM",
"WPR24LA153","ACC","194272","2024-05-15T14:22:00Z","Moriarty","New Mexico","United States","","N995J","FALSE","DirectorBrief","2024-07-25T04:00:00Z","None","0","0","0","The pilot’s unstabilized approach, which resulted in a runway excursion and impact with terrain.","","34.978167","-106.00002","STEMME GMBH & CO","S10-VT","GLI","0E0","Moriarty Municipal Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194272","7/25/2024 5:00:00 PM",
"CEN24LA194","ACC","194289","2024-05-11T14:21:00Z","Breaux Bridge","Louisiana","United States","","N122LF","FALSE","DirectorBrief","2024-07-25T04:00:00Z","Serious","0","1","1","The pilot’s decision to depart with the airplane over maximum gross weight, which reduced the climb performance and resulted in a collision with a tree.","","30.327389","-91.856208","LANNI CHARLES T","SKYRANGER II","AIR","LS34","BORDELON AIRPARK","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194289","7/25/2024 5:00:00 PM",
"ERA24LA215","ACC","194239","2024-05-10T15:25:00Z","Crestview","Florida","United States","","N969VS","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s improper flare, which resulted in a hard landing and the main rotor blades contacting the tail boom.","","30.777641","-86.52027","HUGHES","369","HELI","CEW","BOB SIKES","FALSE","1","","INST","091","Substantial","VMC","VERTOL SYSTEMS CO INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194239","6/21/2024 5:00:00 PM",
"WPR24LA152","ACC","194270","2024-05-10T10:30:00Z","Three Forks","Montana","United States","","N2388X","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s inadequate preflight inspection, which resulted in an attempted departure with the flight control lock device installed, and subsequent nose landing gear collapse.","","45.878111","-111.56944","CESSNA","182H","AIR","9S5","Three Forks Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194270","6/21/2024 5:00:00 PM",
"ERA24LA210","ACC","194220","2024-05-06T10:47:00Z","Titusville","Florida","United States","","N2721L","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control while landing in variable wind conditions, which resulted in runway excursion and collision with an approach light.","","28.622552","-80.83541","STINSON","108-2","AIR","X21","ARTHUR DUNN AIR PARK","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194220","6/28/2024 5:00:00 PM",
"ERA24LA212","ACC","194226","2024-05-02T19:30:00Z","Georgetown","Ohio","United States","","N8290C","FALSE","DirectorBrief","2024-07-18T04:00:00Z","Minor","0","0","1","An inadvertent encounter with the rotor wash of a nearby hovering helicopter during landing, which resulted in a loss of control and a runway excursion.","","38.882","-83.882667","PIPER","PA-20-135","AIR","GEO","BROWN COUNTY","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194226","7/18/2024 5:00:00 PM",
"CEN24LA174","ACC","194205","2024-05-02T16:43:00Z","West Chicago","Illinois","United States","","N20095","FALSE","DirectorBrief","2024-07-18T04:00:00Z","Minor","0","0","2","The flight instructor’s failure to maintain control of the airplane during an encounter with wind while holding short of the runway.","","41.914015","-88.247566","CESSNA","172M","AIR","DPA","DUPAGE","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194205","7/18/2024 5:00:00 PM",
"CEN24LA176","ACC","194207","2024-05-01T11:20:00Z","Watervliet","Michigan","United States","","N8618V","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The pilot’s failure to maintain control during the landing roll on a soft turf runway.","","42.200667","-86.249333","BELLANCA","7ECA","AIR","40C","Watervliet Municipal Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194207","6/28/2024 5:00:00 PM",
"CEN24LA186","ACC","194256","2024-05-01T10:30:00Z","Belle Chasse","Louisiana","United States","","N2782L","FALSE","DirectorBrief","2024-06-13T04:00:00Z","None","0","0","0","The inadequate landing flare by the flight instructor that resulted in a loss of directional control and impact with terrain.","","29.82","-90.02","CESSNA","172H","AIR","65LA","Southern Seaplane Airport","FALSE","1","NSCH","INST","091","Substantial","VMC","Southern Seaplane, Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194256","6/13/2024 5:00:00 PM",
"CEN24LA175","ACC","194206","2024-05-01T08:30:00Z","England","Arkansas","United States","","N8515G","FALSE","DirectorBrief","2024-06-13T04:00:00Z","Serious","0","1","0","The pilot’s failure to maintain clearance from tower guy wires while maneuvering during a low-level aerial application flight.","","34.603597","-91.881838","AIR TRACTOR INC","AT-802A","AIR","","","FALSE","1","","AAPL","137","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194206","6/13/2024 5:00:00 PM",
"CEN24LA177","ACC","194213","2024-04-30T15:00:00Z","Seymour","Indiana","United States","","N750EE","FALSE","DirectorBrief","2024-08-01T04:00:00Z","None","0","0","0","The flight instructor’s failure to maintain clearance from a fence during a takeoff attempt.","","39.040689","-86.007531","ZENITH","CH-750","AIR","","","TRUE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194213","8/1/2024 5:00:00 PM",
"ERA24LA197","ACC","194172","2024-04-27T09:35:00Z","McAlpin","Florida","United States","","N3880B","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s inadequate preflight planning and failure to abort the takeoff at the predetermined decision point.","","30.118113","-82.912813","BEECH","F35","AIR","FL10","Little River","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194172","6/21/2024 5:00:00 PM",
"ERA24LA194","ACC","194155","2024-04-26T12:00:00Z","Hornell","New York","United States","","N5632Q","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","A cabin fire as a result of a damaged lithium-ion battery pack.","","42.382139","-77.682111","MOONEY","M20E","AIR","HTF","HORNELL MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194155","6/21/2024 5:00:00 PM",
"ERA24LA196","ACC","194170","2024-04-25T18:43:00Z","Endicott","New York","United States","","N8084A","FALSE","DirectorBrief","2024-06-21T04:00:00Z","","0","0","0","The pilot’s failure to maintain control of the airplane during an aborted landing, which resulted in a runway excursion, and subsequent collision with trees.","","42.076381","-76.103158","CESSNA","170B","AIR","CZG","TRI-CITIES","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194170","6/21/2024 5:00:00 PM",
"ERA24LA201","ACC","194190","2024-04-25T14:30:00Z","Beach City","Ohio","United States","","N97517","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","A total loss of engine power due to the due to the pilot’s delayed application of carburetor heat.","","40.652851","-81.587416","STINSON","108","AIR","","","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194190","6/21/2024 5:00:00 PM",
"CEN24LA165","ACC","194150","2024-04-24T18:52:00Z","Olney","Texas","United States","","N6108L","FALSE","DirectorBrief","2024-06-13T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control of the airplane during landing in gusty wind conditions.","","33.357638","-98.81684","AIR TRACTOR INC","AT-502B","AIR","ONY","OLNEY MUNI","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194150","6/13/2024 5:00:00 PM",
"ERA24LA193","ACC","194149","2024-04-24T18:00:00Z","Greenville","South Carolina","United States","","N333HE","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s failure to extend the landing gear before landing.","","34.758312","-82.376413","BEECH","E-55","AIR","GYH","DONALDSON FLD","FALSE","2","","BUS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194149","6/21/2024 5:00:00 PM",
"CEN24LA166","ACC","194151","2024-04-24T16:45:00Z","Emporia","Kansas","United States","","N16148","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The pilot’s failure to maintain control during the landing flare.","","38.332675","-96.191216","RANS","S-6ES","AIR","EMP","Emporia","TRUE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194151","7/18/2024 5:00:00 PM",
"ERA24LA182","ACC","194103","2024-04-16T11:45:00Z","Sussex","New Jersey","United States","","N150RZ","FALSE","DirectorBrief","2024-06-21T04:00:00Z","Minor","0","0","1","The student pilot’s failure to maintain airplane control during a go-around attempt in a gusting left crosswind, resulting in an aerodynamic stall and collision with terrain.","","41.200214","-74.623035","CESSNA","150L","AIR","FWN","Sussex Airport","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194103","6/21/2024 5:00:00 PM",
"ERA24LA181","ACC","194101","2024-04-15T13:07:00Z","Shelbyville","Tennessee","United States","","N73605","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The student pilot’s improper recovery from a bounced landing, which resulted in a loss of directional control and subsequent runway excursion.","","35.5594","-86.442472","CESSNA","172M","AIR","SYI","BOMAR FLD/SHELBYVILLE MUNI","FALSE","1","","INST","091","Substantial","VMC","JKG LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194101","7/18/2024 5:00:00 PM",
"CEN24LA159","ACC","194092","2024-04-13T12:45:00Z","Chesterfield","Missouri","United States","","N594M","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","The student pilot’s failure to maintain control during takeoff. Contributing to the accident was the flight instructor’s delayed remedial action.","","38.666123","-90.656863","CIRRUS DESIGN CORP","SR20","AIR","SUS","SPIRIT OF ST LOUIS","FALSE","1","","INST","091","Substantial","VMC","Mistwood Air 1 LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194092","6/28/2024 5:00:00 PM",
"ERA24LA180","ACC","194100","2024-04-13T10:02:00Z","Holt","Florida","United States","","N4064N","FALSE","DirectorBrief","2024-05-29T04:00:00Z","None","0","0","0","The pilot’s failure to maintain an appropriate descent rate during the landing approach, which resulted in a hard landing and subsequent nose over of the airplane.","","30.686375","-86.747632","CESSNA","140","AIR","FD93","YELLOW RIVER AIRSTRIP","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194100","5/29/2024 5:00:00 PM",
"CEN24LA156","ACC","194085","2024-04-12T15:55:00Z","Monroe","Louisiana","United States","","N9845L","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The student pilot’s failure to maintain directional control during the landing roll.","","32.507984","-92.034211","CESSNA","172P","AIR","MLU","Monroe Regional Airport","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194085","7/18/2024 5:00:00 PM",
"ERA24LA186","ACC","194120","2024-04-12T11:08:00Z","Concord","North Carolina","United States","","N777NT","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","Failure of a landing gear extension system hydraulic hose, which resulted in a landing with the landing gear retracted.","","35.38777","-80.709132","CESSNA","210","AIR","JQF","Concord Regional Airport","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194120","6/21/2024 5:00:00 PM",
"CEN24LA154","ACC","194071","2024-04-10T14:30:00Z","Council Bluffs","Iowa","United States","","N675LF","FALSE","DirectorBrief","2024-07-18T04:00:00Z","None","0","0","0","The pilot's failure to maintain directional control during the takeoff with a direct gusting crosswind.","","41.260906","-95.757173","DEHAVILLAND","TIGER MOTH DH 82A","AIR","CBF","COUNCIL BLUFFS MUNI","FALSE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194071","7/18/2024 5:00:00 PM",
"ERA24LA172","ACC","194063","2024-04-09T09:45:00Z","Ceiba","Puerto Rico","United States","","N5841Z","FALSE","DirectorBrief","2024-05-09T04:00:00Z","None","0","0","0","The pilots’ failure to ensure adequate clearance from the taxiway while performing a quick stop maneuver.","","18.25144","-65.640696","MD HELICOPTERS INC","369FF","HELI","RVR","JOSE APONTE DE LA TORRE","FALSE","2","","INST","091","Substantial","VMC","Luma Energy Servco, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194063","5/8/2024 5:00:00 PM",
"ERA24LA171","ACC","194061","2024-04-09T08:30:00Z","South Kingstown","Rhode Island","United States","","N331EL","FALSE","DirectorBrief","2024-05-29T04:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from the water while maneuvering at low altitude.","","41.437414","-71.572543","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","OWRK","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194061","5/29/2024 5:00:00 PM",
"CEN24LA153","ACC","194068","2024-04-09T07:13:00Z","Oklahoma City","Oklahoma","United States","","N243MH","FALSE","DirectorBrief","2024-06-28T04:00:00Z","None","0","0","0","An in-flight collision with a bird during the initial climb.","","35.544221","-97.645551","BEECH","B300","AIR","PWA","Wiley Post Airport","FALSE","2","","EXEC","091","Substantial","VMC","ALLEN CONTRACTING INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194068","6/28/2024 5:00:00 PM",
"ERA24LA177","ACC","194083","2024-04-08T11:19:00Z","Carrabassett","Maine","United States","","N6465P","FALSE","DirectorBrief","2024-05-29T04:00:00Z","None","0","0","0","The pilot’s failure to attain a proper touchdown point while landing in gusty wind conditions.","","45.08532","-70.216323","PIPER","PA-24-250","AIR","B21","SUGARLOAF RGNL","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194083","5/29/2024 5:00:00 PM",
"ERA24LA168","ACC","194044","2024-04-07T10:25:00Z","Ellington","Connecticut","United States","","N90JF","FALSE","DirectorBrief","2024-06-21T04:00:00Z","None","0","0","0","The pilot’s failure to maintain a proper glidepath to the runway, which resulted in a runway undershoot and collision with terrain.","","41.925417","-72.457111","CESSNA","208","AIR","7B9","Ellington Airport","FALSE","1","","SKYD","091","Substantial","VMC","Connecticut Parchutists","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=194044","6/21/2024 5:00:00 PM",
